phi,sigma,total_time,max_ac225_yield,time_to_peak
253515409443239.88,1e-24,327.49475627859294,3.432081832439129e+19,327.49475627859294
201774422526294.5,1e-24,164.94493439378112,8.878634216066658e+18,164.94493439378112
375720112732474.5,1e-24,279.0807479638429,3.972429413209201e+19,279.0807479638429
72918275704394.17,1e-24,316.746115661118,9.38471363098033e+18,316.746115661118
52639853131721.75,1e-24,261.24222985731154,5.011035341823481e+18,261.24222985731154
297448221791593.94,1e-24,444.3374144946168,6.2416198272766165e+19,444.3374144946168
695207413385670.8,1e-24,256.78013333971865,6.435959469358708e+19,256.78013333971865
109786825979894.78,1e-24,401.93650127427986,2.0054253547232776e+19,401.93650127427986
42550178223532.76,1e-24,420.3173575490836,8.274602182929212e+18,420.3173575490836
97338195993650.98,1e-24,66.76979492428151,8.191422493763373e+17,66.76979492428151
13935363259363.014,1e-24,422.57667340933693,2.7302205023525197e+18,422.57667340933693
12916231900273.082,1e-24,147.4996037054914,4.6703124870149786e+17,147.4996037054914
46586499728167.85,1e-24,94.76727814388096,7.554394470184717e+17,94.76727814388096
42441110560671.87,1e-24,373.919357695292,6.99185632557955e+18,373.919357695292
10699554300082.56,1e-24,415.3149780151364,2.046395625533421e+18,415.3149780151364
516530590859541.25,1e-24,192.4081708638586,2.96359257975921e+19,192.4081708638586
20287372251852.13,1e-24,304.4117998930896,2.4567238715051766e+18,304.4117998930896
17351823111481.186,1e-24,188.81048692834372,9.641440264418671e+17,188.81048692834372
825768594439010.8,1e-24,497.7775915659822,2.0129401779836168e+20,497.7775915659822
350114246263259.9,1e-24,162.37113986117544,1.4988409655332995e+19,162.37113986117544
237317682336917.97,1e-24,355.64911908716624,3.6334574407636697e+19,355.64911908716624
59660019410871.36,1e-24,324.0354309472181,7.948692279659849e+18,324.0354309472181
10506432869461.275,1e-24,112.43825271509832,2.3323585570403117e+17,112.43825271509832
112247481610553.78,1e-24,90.23813908656497,1.6622226617831168e+18,90.23813908656497
21469094901826.668,1e-24,419.78910236961656,4.1678020808355784e+18,419.78910236961656
951187217434998.9,1e-24,282.42501973393973,1.0245037049736102e+20,282.42501973393973
476584004119246.7,1e-24,495.2576155198735,1.1544566946712003e+20,495.2576155198735
19195161796041.31,1e-24,229.64035049463203,1.4816596549933686e+18,229.64035049463203
60974104632579.47,1e-24,49.22414898663066,2.8679757200423344e+17,49.22414898663066
324086055955205.75,1e-24,222.55172338807057,2.3749865222199448e+19,222.55172338807057
86826814590155.62,1e-24,83.82975716848769,1.1209699934275612e+18,83.82975716848769
23006645700620.977,1e-24,454.48077485654534,4.977911174646285e+18,454.48077485654534
12282822558766.371,1e-24,124.09761962241606,3.2611627071831866e+17,124.09761962241606
38381209868685.34,1e-24,250.19679577677735,3.408057134767355e+18,250.19679577677735
148898507997974.94,1e-24,251.71208816682662,1.335072976751082e+19,251.71208816682662
14730947072304.63,1e-24,129.39705248729965,4.2171007053403283e+17,129.39705248729965
486605226792790.7,1e-24,322.4184632344449,6.432984166400424e+19,322.4184632344449
198745864333868.7,1e-24,338.39959512216393,2.8264925427209773e+19,338.39959512216393
335587702660715.6,1e-24,38.47315604350919,9.809860225522116e+17,38.47315604350919
54102429759490.33,1e-24,274.36844327822257,5.568855025724496e+18,274.36844327822257
47523997744189.23,1e-24,423.7946479107214,9.347876041721203e+18,423.7946479107214
92287953846349.56,1e-24,386.62751883509577,1.5952799517862435e+19,386.62751883509577
505860808451831.75,1e-24,257.347826622714,4.700035165735215e+19,257.347826622714
659332506236057.2,1e-24,297.6907308631205,7.711174338908086e+19,297.6907308631205
501820729767457.44,1e-24,176.8894898398469,2.4926823967156634e+19,176.8894898398469
99456670672197.84,1e-24,270.39141009224306,1.0002526067602051e+19,270.39141009224306
16216586083140.277,1e-24,205.2907282837549,1.0384776077626833e+18,205.2907282837549
683400583235363.9,1e-24,319.10779777872375,8.89326545690975e+19,319.10779777872375
22647129573455.633,1e-24,176.03926144870644,1.1157493993282819e+18,176.03926144870644
24166069453985.688,1e-24,22.163334581300546,2.40655536834176e+16,22.163334581300546
716013015723097.2,1e-24,229.62159084586702,5.524942371412602e+19,229.62159084586702
41216408418376.37,1e-24,303.25382386329096,4.961834541734711e+18,303.25382386329096
10342580565161.16,1e-24,146.23083223439878,3.682953252110978e+17,146.23083223439878
254722278818466.38,1e-24,320.54718880393887,3.3381592237819904e+19,320.54718880393887
919627384397861.6,1e-24,313.97527773244155,1.1673768781106364e+20,313.97527773244155
90159552458335.2,1e-24,383.10195596016376,1.538157215614183e+19,383.10195596016376
640701504679306.2,1e-24,363.14101389199226,1.0112154541746235e+20,363.14101389199226
844155485785314.8,1e-24,393.1825336617068,1.494009529941017e+20,393.1825336617068
541505505571349.4,1e-24,65.91099487998223,4.4464434315795067e+18,65.91099487998223
291626513670234.9,1e-24,225.64346276841061,2.1865354593015505e+19,225.64346276841061
127704912787130.78,1e-24,330.5101806463548,1.7530358315563065e+19,330.5101806463548
